,gdp_growth_yoy_lag_6,UNRATE_lag_3,unemployment_change,DGS10,yield_curve_slope,inflation_yoy,gdp_growth_yoy_lag_3,fed_funds_momentum,real_fed_funds,CPIAUCSL,gdp_growth_yoy,employment_growth_yoy,gdp_growth_yoy_lag_1,employment_growth_yoy_lag_3
1963-01-01,2.527554110768615,5.4,-0.0999999999999996,3.893333333333333,0.9733333333333332,1.331557922769644,1.984456148416136,0.02,1.588442077230356,30.44,2.076262628750447,2.2298737497950416,0.5341306707255855,2.7860313268038617
1963-02-01,1.442620001798911,5.7,0.4000000000000003,3.88,0.8799999999999999,1.2288276320159497,0.5341306707255855,0.06,1.7711723679840503,30.48,1.5339387208466837,1.888091614119003,2.076262628750447,2.400350736180634
1963-03-01,1.442620001798911,5.5,0.1000000000000005,3.93,0.9500000000000002,1.1269472986410234,0.5341306707255855,0.0499999999999998,1.8530527013589768,30.51,1.5339387208466837,1.8905472636815857,1.5339387208466837,2.1067210963697347
1963-04-01,1.984456148416136,5.7,0.1000000000000005,3.95,1.0500000000000005,0.893743793445867,2.076262628750447,-0.02,2.006256206554133,30.48,2.853596393806757,1.7589295349088152,1.5339387208466837,2.2298737497950416
1963-05-01,0.5341306707255855,5.9,0.4000000000000003,3.94,0.94,0.8928571428571619,1.5339387208466837,0.0,2.107142857142838,30.51,1.2997207530659027,1.7760839864816358,2.853596393806757,1.888091614119003
1963-06-01,0.5341306707255855,5.7,0.0999999999999996,3.975,0.9849999999999994,1.3240648791790657,1.5339387208466837,0.0100000000000002,1.6659351208209348,30.61,1.2997207530659027,1.824096039105738,1.2997207530659027,1.8905472636815857
1963-07-01,2.076262628750447,5.7,0.1999999999999993,4.01,0.9899999999999998,1.5552614162806178,2.853596393806757,0.1200000000000001,1.4647385837193825,30.69,3.663024874853616,1.8799555125031289,1.2997207530659027,1.7589295349088152
1963-08-01,1.5339387208466837,5.9,-0.2999999999999998,3.99,0.5,1.5521796565389767,1.2997207530659027,0.4900000000000002,1.9378203434610235,30.75,2.3329818722290785,1.9198395357999944,3.663024874853616,1.7760839864816358
1963-09-01,1.5339387208466837,5.6,-0.0999999999999996,4.03,0.5500000000000003,0.9861932938855844,1.2997207530659027,0.4899999999999997,2.493806706114416,30.72,2.3329818722290785,1.9650577012397807,2.3329818722290785,1.824096039105738
1963-10-01,2.853596393806757,5.6,0.0999999999999996,4.07,0.5700000000000003,1.2179065174456882,3.663024874853616,0.48,2.282093482554312,30.75,3.8405594583264646,2.2162345425670527,2.3329818722290785,1.8799555125031289
